ts,cpu_percent,mem_percent,disk_read,disk_write,net_sent,net_recv
2025-10-30T21:32:50.890866+00:00,0.5,46.0,0,0,202,120
2025-10-30T21:32:51.893396+00:00,1.9,46.0,0,40960,578,995
2025-10-30T21:32:52.974113+00:00,2.6,46.0,0,0,0,0
2025-10-30T21:32:53.975144+00:00,3.1,46.0,0,0,120,363
2025-10-30T21:32:54.976243+00:00,1.0,46.0,0,0,0,0
2025-10-30T21:32:55.978393+00:00,3.7,46.0,0,0,0,0
2025-10-30T21:32:56.979599+00:00,2.6,46.0,0,0,0,0
2025-10-30T21:32:57.982270+00:00,0.0,46.0,0,12288,0,0
2025-10-30T21:32:58.984140+00:00,1.5,46.0,0,0,0,0
2025-10-30T21:32:59.986741+00:00,1.5,46.0,0,0,0,0
2025-10-30T21:33:00.987920+00:00,1.0,46.0,0,0,0,0
2025-10-30T21:33:01.989776+00:00,4.1,46.0,0,0,0,0
2025-10-30T21:33:02.991560+00:00,7.3,46.0,0,0,339,401
2025-10-30T21:33:03.992149+00:00,20.9,46.0,0,24576,0,0
2025-10-30T21:33:04.993458+00:00,13.0,46.0,0,0,0,0
2025-10-30T21:33:06.000867+00:00,13.2,46.0,0,81920,0,0
2025-10-30T21:33:07.002461+00:00,10.2,46.0,0,0,12583,1333
2025-10-30T21:33:08.022177+00:00,18.7,46.1,0,0,74,637
2025-10-30T21:33:09.024467+00:00,15.1,46.1,0,0,637,689
2025-10-30T21:33:10.026302+00:00,5.2,46.1,0,0,0,0
2025-10-30T21:33:11.033951+00:00,3.6,46.1,0,577536,0,0
2025-10-30T21:33:12.045447+00:00,2.6,46.1,0,69632,0,0
2025-10-30T21:33:13.055402+00:00,2.9,46.2,0,364544,0,0
2025-10-30T21:33:14.109029+00:00,1.0,46.2,0,0,0,0
2025-10-30T21:33:15.112578+00:00,1.0,46.2,0,0,0,0
